policy_id,customer_id,agent_id,product_id,product_type,start_date,end_date,premium_amount,term_months,status
POL-0023,CUST-0189,AGT-0011,PROD-004,Life,2024-05-30,2027-05-15,57991.41,36,active
POL-0024,CUST-0243,AGT-0009,PROD-001,Motor,2025-03-25,2028-03-09,37479.93,36,active
POL-0025,CUST-0076,AGT-0008,PROD-002,Health,2026-04-03,2031-03-08,18525.6,60,lapsed
POL-0026,CUST-0161,AGT-0014,PROD-001,Motor,2024-10-16,2025-10-11,15059.02,12,renewed
POL-0027,CUST-0032,AGT-0005,PROD-002,Health,2025-03-29,2027-03-19,30518.87,24,lapsed
POL-0028,CUST-0270,AGT-0013,PROD-002,Health,2024-10-28,2027-10-13,59906.14,36,lapsed
POL-0029,CUST-0280,AGT-0012,PROD-003,Property,2025-11-29,2030-11-03,74288.07,60,active
POL-0030,CUST-0143,AGT-0018,PROD-003,Property,2024-09-08,2029-08-13,27497.17,60,active
POL-0031,CUST-0251,AGT-0011,PROD-003,Property,2025-10-07,2028-09-21,65126.33,36,active
POL-0032,CUST-0203,AGT-0012,PROD-004,Life,2025-06-02,2028-05-17,43023.15,36,lapsed
POL-0033,CUST-0178,AGT-0015,PROD-002,Health,2025-08-01,2026-07-27,24381.52,12,active
POL-0034,CUST-0288,AGT-0009,PROD-003,Property,2025-01-20,2027-01-10,28134.42,24,active
POL-0035,CUST-0120,AGT-0002,PROD-002,Health,2026-02-03,2028-01-24,22122.9,24,active
POL-0036,CUST-0071,AGT-0001,PROD-001,Motor,2025-03-28,2028-03-12,34542.25,36,active
POL-0037,CUST-0148,AGT-0011,PROD-002,Health,2025-04-04,2030-03-09,33872.43,60,active
POL-0038,CUST-0294,AGT-0008,PROD-003,Property,2024-08-02,2025-07-28,74015.9,12,expired
POL-0039,CUST-0019,AGT-0013,PROD-001,Motor,2025-11-27,2030-11-01,40643.06,60,active
POL-0040,CUST-0153,AGT-0019,PROD-004,Life,2025-11-16,2028-10-31,90139.45,36,active
POL-0041,CUST-0069,AGT-0017,PROD-001,Motor,2025-06-16,2028-05-31,24810.92,36,lapsed
POL-0042,CUST-0084,AGT-0015,PROD-004,Life,2025-08-19,2027-08-09,84705.11,24,active
POL-0043,CUST-0291,AGT-0007,PROD-003,Property,2025-11-16,2026-11-11,62880.16,12,active
POL-0044,CUST-0045,AGT-0013,PROD-002,Health,2024-09-07,2029-08-12,51349.49,60,active
POL-0045,CUST-0004,AGT-0009,PROD-001,Motor,2025-11-17,2027-11-07,25665.8,24,active
POL-0046,CUST-0155,AGT-0019,PROD-004,Life,2025-09-26,2030-08-31,80300.53,60,active
POL-0047,CUST-0061,AGT-0015,PROD-001,Motor,2025-08-31,2028-08-15,33632.44,36,active
POL-0048,CUST-0061,AGT-0010,PROD-003,Property,2025-12-13,2030-11-17,59594.79,60,active
POL-0049,CUST-0245,AGT-0005,PROD-003,Property,2024-09-03,2026-08-24,29243.36,24,active
POL-0050,CUST-0276,AGT-0007,PROD-004,Life,2024-09-12,2027-08-28,53267.65,36,lapsed
POL-0051,CUST-0186,AGT-0003,PROD-002,Health,2024-06-28,2025-06-23,36275.33,12,lapsed
POL-0052,CUST-0085,AGT-0011,PROD-001,Motor,2026-03-23,2028-03-12,29189.96,24,active
POL-0053,CUST-0047,AGT-0017,PROD-004,Life,2026-01-26,2028-01-16,77353.44,24,lapsed
POL-0054,CUST-0234,AGT-0019,PROD-004,Life,2026-03-30,2031-03-04,30555.55,60,lapsed
POL-0055,CUST-0012,AGT-0013,PROD-001,Motor,2024-10-30,2029-10-04,32892.41,60,active
POL-0056,CUST-0217,AGT-0012,PROD-003,Property,2026-05-22,2028-05-11,52590.23,24,active
POL-0057,CUST-0242,AGT-0002,PROD-001,Motor,2024-11-17,2025-11-12,42579.56,12,expired
POL-0058,CUST-0192,AGT-0013,PROD-003,Property,2025-04-02,2027-03-23,64983.18,24,lapsed
POL-0059,CUST-0179,AGT-0004,PROD-004,Life,2025-05-04,2030-04-08,26420.0,60,active
POL-0060,CUST-0002,AGT-0001,PROD-002,Health,2024-11-21,2029-10-26,36442.13,60,active
POL-0061,CUST-0127,AGT-0015,PROD-003,Property,2025-02-05,2030-01-10,49575.68,60,active
POL-0062,CUST-0017,AGT-0014,PROD-003,Property,2025-12-18,2028-12-02,27251.23,36,active
POL-0063,CUST-0229,AGT-0020,PROD-001,Motor,2025-09-21,2027-09-11,10489.76,24,active
POL-0064,CUST-0277,AGT-0007,PROD-001,Motor,2025-09-17,2026-09-12,22883.82,12,active
POL-0065,CUST-0296,AGT-0020,PROD-001,Motor,2026-01-02,2028-12-17,16663.98,36,active
POL-0066,CUST-0212,AGT-0010,PROD-003,Property,2025-09-25,2028-09-09,71956.79,36,active
POL-0067,CUST-0285,AGT-0016,PROD-003,Property,2026-03-24,2028-03-13,55689.55,24,lapsed
POL-0068,CUST-0214,AGT-0014,PROD-001,Motor,2025-06-07,2030-05-12,37074.77,60,active
POL-0069,CUST-0124,AGT-0008,PROD-002,Health,2025-07-22,2030-06-26,19193.95,60,lapsed
POL-0070,CUST-0288,AGT-0014,PROD-003,Property,2024-05-31,2026-05-21,67375.45,24,expired
POL-0071,CUST-0105,AGT-0011,PROD-004,Life,2024-11-01,2026-10-22,51073.52,24,active
POL-0072,CUST-0027,AGT-0009,PROD-001,Motor,2025-02-19,2028-02-04,11421.17,36,active
POL-0073,CUST-0287,AGT-0007,PROD-004,Life,2024-07-05,2025-06-30,89889.64,12,expired
POL-0074,CUST-0109,AGT-0007,PROD-004,Life,2025-10-24,2028-10-08,44255.04,36,active
POL-0075,CUST-0204,AGT-0008,PROD-001,Motor,2025-01-20,2027-01-10,33738.17,24,active
POL-0076,CUST-0158,AGT-0009,PROD-003,Property,2025-08-09,2030-07-14,45306.28,60,active
POL-0077,CUST-0164,AGT-0007,PROD-003,Property,2024-12-16,2029-11-20,45290.26,60,lapsed
POL-0078,CUST-0075,AGT-0001,PROD-003,Property,2025-07-09,2030-06-13,17971.5,60,active
POL-0079,CUST-0169,AGT-0008,PROD-003,Property,2024-11-05,2029-10-10,34187.5,60,active
POL-0080,CUST-0132,AGT-0016,PROD-004,Life,2024-10-19,2026-10-09,59944.12,24,active
POL-0081,CUST-0087,AGT-0005,PROD-004,Life,2025-02-08,2027-01-29,78621.78,24,active
POL-0082,CUST-0025,AGT-0001,PROD-004,Life,2025-11-18,2026-11-13,61915.55,12,active
POL-0083,CUST-0005,AGT-0007,PROD-004,Life,2026-01-05,2027-12-26,25437.44,24,active
POL-0084,CUST-0248,AGT-0016,PROD-004,Life,2025-05-08,2026-05-03,69426.82,12,lapsed
POL-0085,CUST-0275,AGT-0010,PROD-001,Motor,2026-05-19,2031-04-23,8438.49,60,active
POL-0086,CUST-0055,AGT-0004,PROD-001,Motor,2024-12-27,2029-12-01,37828.2,60,active
POL-0087,CUST-0182,AGT-0009,PROD-002,Health,2025-09-21,2027-09-11,40989.04,24,active
POL-0088,CUST-0290,AGT-0008,PROD-004,Life,2026-03-06,2029-02-18,96743.82,36,lapsed
POL-0089,CUST-0048,AGT-0013,PROD-002,Health,2025-07-22,2026-07-17,42686.79,12,active
POL-0090,CUST-0088,AGT-0003,PROD-004,Life,2025-05-04,2030-04-08,24489.2,60,active
POL-0091,CUST-0271,AGT-0002,PROD-004,Life,2025-03-07,2028-02-20,65268.53,36,active
POL-0092,CUST-0144,AGT-0018,PROD-002,Health,2025-10-21,2030-09-25,23554.75,60,active
POL-0093,CUST-0074,AGT-0013,PROD-001,Motor,2025-11-23,2028-11-07,8579.35,36,active
POL-0094,CUST-0277,AGT-0011,PROD-001,Motor,2025-07-23,2027-07-13,28866.45,24,lapsed
POL-0095,CUST-0028,AGT-0004,PROD-004,Life,2026-01-02,2026-12-28,60063.43,12,active
POL-0096,CUST-0168,AGT-0001,PROD-004,Life,2025-09-30,2026-09-25,47247.42,12,lapsed
POL-0097,CUST-0222,AGT-0006,PROD-003,Property,2025-02-18,2030-01-23,29829.0,60,lapsed
POL-0098,CUST-0043,AGT-0009,PROD-004,Life,2026-02-27,2029-02-11,83844.41,36,active
POL-0099,CUST-0185,AGT-0004,PROD-002,Health,2025-05-01,2027-04-21,46982.76,24,active
POL-0100,CUST-0053,AGT-0005,PROD-001,Motor,2026-05-20,2029-05-04,24455.23,36,active
POL-0101,CUST-0053,AGT-0001,PROD-001,Motor,2025-11-15,2030-10-20,24607.22,60,lapsed
POL-0102,CUST-0198,AGT-0001,PROD-001,Motor,2025-05-28,2026-05-23,30086.21,12,renewed
POL-0103,CUST-0293,AGT-0017,PROD-003,Property,2025-03-28,2030-03-02,65645.99,60,active
POL-0104,CUST-0155,AGT-0009,PROD-002,Health,2024-06-23,2029-05-28,18475.09,60,active
POL-0105,CUST-0216,AGT-0010,PROD-004,Life,2025-12-27,2026-12-22,33376.59,12,active
POL-0106,CUST-0254,AGT-0020,PROD-004,Life,2026-03-08,2029-02-20,40135.98,36,active
POL-0107,CUST-0203,AGT-0011,PROD-002,Health,2025-02-11,2026-02-06,16774.48,12,expired
POL-0108,CUST-0154,AGT-0011,PROD-004,Life,2025-06-22,2030-05-27,46778.9,60,active
POL-0109,CUST-0164,AGT-0010,PROD-002,Health,2025-01-20,2028-01-05,18881.86,36,lapsed
POL-0110,CUST-0202,AGT-0012,PROD-004,Life,2024-10-13,2026-10-03,46070.9,24,active
POL-0111,CUST-0282,AGT-0001,PROD-001,Motor,2024-10-25,2026-10-15,29912.4,24,active
POL-0112,CUST-0036,AGT-0014,PROD-004,Life,2024-05-30,2026-05-20,55076.4,24,renewed
POL-0113,CUST-0217,AGT-0013,PROD-004,Life,2026-01-03,2028-12-18,39361.69,36,active
POL-0114,CUST-0279,AGT-0002,PROD-001,Motor,2025-02-20,2030-01-25,29543.03,60,lapsed
POL-0115,CUST-0182,AGT-0006,PROD-003,Property,2024-06-06,2025-06-01,22109.01,12,expired
POL-0116,CUST-0221,AGT-0004,PROD-001,Motor,2024-10-26,2029-09-30,43772.01,60,active
POL-0117,CUST-0229,AGT-0012,PROD-001,Motor,2026-02-14,2029-01-29,16214.04,36,active
POL-0118,CUST-0248,AGT-0004,PROD-004,Life,2025-02-05,2027-01-26,47597.39,24,active
POL-0119,CUST-0073,AGT-0012,PROD-003,Property,2025-03-26,2026-03-21,22544.51,12,lapsed
POL-0120,CUST-0179,AGT-0016,PROD-003,Property,2025-06-08,2030-05-13,65977.55,60,lapsed
POL-0121,CUST-0023,AGT-0004,PROD-001,Motor,2025-03-03,2030-02-05,19799.65,60,active
POL-0122,CUST-0125,AGT-0017,PROD-001,Motor,2025-06-08,2026-06-03,33054.16,12,active
POL-0123,CUST-0237,AGT-0008,PROD-002,Health,2024-11-06,2026-10-27,26549.48,24,lapsed
POL-0124,CUST-0203,AGT-0001,PROD-004,Life,2024-08-19,2026-08-09,34910.95,24,lapsed
POL-0125,CUST-0106,AGT-0009,PROD-002,Health,2025-02-19,2030-01-24,29441.79,60,active
POL-0126,CUST-0096,AGT-0012,PROD-001,Motor,2024-10-11,2025-10-06,37581.59,12,lapsed
POL-0127,CUST-0271,AGT-0011,PROD-003,Property,2025-11-05,2030-10-10,22407.07,60,lapsed
POL-0128,CUST-0181,AGT-0015,PROD-004,Life,2024-09-07,2029-08-12,66960.38,60,active
POL-0129,CUST-0069,AGT-0011,PROD-002,Health,2024-07-05,2027-06-20,55934.13,36,active
POL-0130,CUST-0073,AGT-0017,PROD-001,Motor,2025-09-23,2028-09-07,12327.11,36,active
POL-0131,CUST-0096,AGT-0016,PROD-004,Life,2025-03-23,2027-03-13,65984.48,24,lapsed
POL-0132,CUST-0096,AGT-0011,PROD-002,Health,2024-11-03,2026-10-24,34482.1,24,active
POL-0133,CUST-0249,AGT-0005,PROD-004,Life,2024-08-29,2025-08-24,89241.78,12,expired
POL-0134,CUST-0213,AGT-0015,PROD-002,Health,2025-04-27,2030-04-01,30456.72,60,lapsed
POL-0135,CUST-0150,AGT-0002,PROD-004,Life,2025-12-05,2026-11-30,65231.82,12,active
POL-0136,CUST-0290,AGT-0016,PROD-003,Property,2025-10-07,2028-09-21,25933.58,36,lapsed
POL-0137,CUST-0188,AGT-0018,PROD-001,Motor,2024-10-16,2025-10-11,17911.89,12,lapsed
POL-0138,CUST-0127,AGT-0010,PROD-001,Motor,2025-02-28,2027-02-18,44621.7,24,active
POL-0139,CUST-0225,AGT-0004,PROD-001,Motor,2025-02-19,2028-02-04,20897.35,36,active
POL-0140,CUST-0085,AGT-0020,PROD-002,Health,2025-10-23,2028-10-07,53052.43,36,lapsed
POL-0141,CUST-0273,AGT-0009,PROD-002,Health,2025-10-26,2027-10-16,50272.02,24,active
POL-0142,CUST-0264,AGT-0004,PROD-002,Health,2025-06-28,2028-06-12,24466.66,36,active
POL-0143,CUST-0065,AGT-0005,PROD-002,Health,2025-03-30,2026-03-25,59624.31,12,lapsed
POL-0144,CUST-0251,AGT-0005,PROD-002,Health,2025-12-27,2028-12-11,51424.09,36,lapsed
POL-0145,CUST-0048,AGT-0013,PROD-003,Property,2024-08-21,2029-07-26,39386.2,60,active
POL-0146,CUST-0168,AGT-0019,PROD-003,Property,2024-06-13,2027-05-29,44555.22,36,lapsed
POL-0147,CUST-0033,AGT-0018,PROD-001,Motor,2026-02-19,2031-01-24,31489.1,60,active
POL-0148,CUST-0138,AGT-0011,PROD-004,Life,2025-10-14,2030-09-18,85987.81,60,lapsed
POL-0149,CUST-0176,AGT-0002,PROD-003,Property,2025-06-14,2027-06-04,51799.24,24,lapsed
POL-0150,CUST-0226,AGT-0015,PROD-001,Motor,2026-02-13,2031-01-18,8602.41,60,active
POL-0151,CUST-0155,AGT-0006,PROD-001,Motor,2025-03-13,2027-03-03,44840.68,24,active
POL-0152,CUST-0085,AGT-0002,PROD-003,Property,2026-02-19,2029-02-03,31275.3,36,active
POL-0153,CUST-0220,AGT-0003,PROD-004,Life,2024-08-23,2027-08-08,78079.07,36,active
POL-0154,CUST-0116,AGT-0017,PROD-001,Motor,2026-05-24,2028-05-13,25641.85,24,active
POL-0155,CUST-0217,AGT-0005,PROD-004,Life,2026-05-16,2027-05-11,75647.77,12,active
POL-0156,CUST-0053,AGT-0011,PROD-004,Life,2026-03-14,2028-03-03,50645.59,24,active
POL-0157,CUST-0074,AGT-0003,PROD-003,Property,2025-07-23,2027-07-13,39876.87,24,active
POL-0158,CUST-0078,AGT-0014,PROD-001,Motor,2024-09-08,2026-08-29,24283.68,24,active
POL-0159,CUST-0064,AGT-0019,PROD-004,Life,2025-10-15,2026-10-10,91727.44,12,active
POL-0160,CUST-0127,AGT-0009,PROD-004,Life,2025-05-31,2030-05-05,45160.29,60,active
POL-0161,CUST-0155,AGT-0007,PROD-001,Motor,2025-09-13,2028-08-28,36821.88,36,active
POL-0162,CUST-0254,AGT-0013,PROD-002,Health,2025-04-19,2028-04-03,42308.49,36,active
POL-0163,CUST-0271,AGT-0001,PROD-001,Motor,2025-09-21,2030-08-26,31609.05,60,active
POL-0164,CUST-0188,AGT-0018,PROD-003,Property,2025-07-05,2027-06-25,40144.49,24,lapsed
POL-0165,CUST-0008,AGT-0009,PROD-002,Health,2025-01-28,2026-01-23,10834.47,12,expired
POL-0166,CUST-0260,AGT-0010,PROD-002,Health,2026-04-15,2027-04-10,57434.0,12,lapsed
POL-0167,CUST-0143,AGT-0003,PROD-004,Life,2025-03-18,2030-02-20,26594.22,60,active
POL-0168,CUST-0275,AGT-0011,PROD-003,Property,2026-03-06,2028-02-24,78330.37,24,active
POL-0169,CUST-0123,AGT-0002,PROD-004,Life,2024-10-02,2025-09-27,44813.56,12,renewed
POL-0170,CUST-0159,AGT-0006,PROD-002,Health,2026-02-26,2031-01-31,15799.33,60,active
POL-0171,CUST-0255,AGT-0012,PROD-001,Motor,2026-05-13,2028-05-02,33955.49,24,active
POL-0172,CUST-0061,AGT-0001,PROD-003,Property,2025-12-06,2028-11-20,23250.49,36,active
POL-0173,CUST-0296,AGT-0003,PROD-003,Property,2025-03-12,2028-02-25,49050.52,36,active
POL-0174,CUST-0189,AGT-0006,PROD-004,Life,2025-02-13,2028-01-29,24435.13,36,active
POL-0175,CUST-0023,AGT-0001,PROD-003,Property,2026-02-09,2027-02-04,29846.29,12,active
POL-0176,CUST-0092,AGT-0002,PROD-002,Health,2026-04-08,2031-03-13,28198.82,60,active
POL-0177,CUST-0139,AGT-0003,PROD-004,Life,2025-10-08,2028-09-22,39861.05,36,active
POL-0178,CUST-0206,AGT-0003,PROD-003,Property,2026-01-23,2027-01-18,26657.38,12,active
POL-0179,CUST-0005,AGT-0012,PROD-004,Life,2025-08-09,2028-07-24,46184.07,36,lapsed
POL-0180,CUST-0238,AGT-0012,PROD-002,Health,2025-07-31,2028-07-15,46978.8,36,active
POL-0181,CUST-0013,AGT-0008,PROD-004,Life,2025-11-06,2027-10-27,32045.31,24,lapsed
POL-0182,CUST-0193,AGT-0010,PROD-003,Property,2024-08-12,2025-08-07,76814.37,12,expired
POL-0183,CUST-0073,AGT-0009,PROD-001,Motor,2025-10-27,2027-10-17,23533.19,24,active
POL-0184,CUST-0191,AGT-0015,PROD-001,Motor,2026-04-11,2028-03-31,41199.64,24,lapsed
POL-0185,CUST-0202,AGT-0003,PROD-001,Motor,2024-10-08,2025-10-03,26700.83,12,lapsed
POL-0186,CUST-0162,AGT-0013,PROD-001,Motor,2025-03-06,2027-02-24,16760.55,24,active
POL-0187,CUST-0104,AGT-0005,PROD-003,Property,2025-07-04,2030-06-08,32677.13,60,active
POL-0188,CUST-0161,AGT-0014,PROD-001,Motor,2025-12-17,2026-12-12,14081.87,12,lapsed
POL-0189,CUST-0232,AGT-0010,PROD-001,Motor,2024-11-23,2027-11-08,43691.48,36,active
POL-0190,CUST-0021,AGT-0007,PROD-004,Life,2025-08-27,2026-08-22,27233.67,12,active
POL-0191,CUST-0203,AGT-0017,PROD-003,Property,2025-12-25,2026-12-20,61225.23,12,active
POL-0192,CUST-0016,AGT-0013,PROD-001,Motor,2024-07-01,2027-06-16,17626.17,36,active
POL-0193,CUST-0072,AGT-0004,PROD-004,Life,2024-11-02,2026-10-23,27578.02,24,active
POL-0194,CUST-0191,AGT-0003,PROD-001,Motor,2026-03-23,2028-03-12,12836.46,24,lapsed
POL-0195,CUST-0228,AGT-0005,PROD-003,Property,2026-03-10,2027-03-05,79815.49,12,active
POL-0196,CUST-0026,AGT-0006,PROD-001,Motor,2025-06-20,2026-06-15,9579.76,12,lapsed
POL-0197,CUST-0089,AGT-0012,PROD-004,Life,2025-04-16,2030-03-21,22358.58,60,lapsed
POL-0198,CUST-0018,AGT-0020,PROD-002,Health,2025-11-15,2028-10-30,23992.73,36,active
POL-0199,CUST-0032,AGT-0003,PROD-002,Health,2024-08-01,2027-07-17,34944.58,36,lapsed
POL-0200,CUST-0279,AGT-0001,PROD-003,Property,2025-04-28,2027-04-18,42250.26,24,active
POL-0201,CUST-0177,AGT-0019,PROD-004,Life,2025-05-23,2030-04-27,63561.42,60,lapsed
POL-0202,CUST-0113,AGT-0001,PROD-003,Property,2025-04-23,2028-04-07,26688.03,36,active
POL-0203,CUST-0082,AGT-0004,PROD-003,Property,2026-03-27,2031-03-01,49413.1,60,active
POL-0204,CUST-0113,AGT-0019,PROD-002,Health,2024-07-22,2026-07-12,23326.35,24,active
POL-0205,CUST-0184,AGT-0019,PROD-004,Life,2025-05-27,2027-05-17,34088.03,24,active
POL-0206,CUST-0289,AGT-0007,PROD-001,Motor,2024-06-04,2027-05-20,43059.67,36,active
POL-0207,CUST-0047,AGT-0002,PROD-004,Life,2024-11-16,2027-11-01,34044.54,36,active
POL-0208,CUST-0001,AGT-0011,PROD-002,Health,2024-09-16,2026-09-06,10996.4,24,lapsed
POL-0209,CUST-0031,AGT-0001,PROD-002,Health,2026-01-12,2028-12-27,45846.88,36,active
POL-0210,CUST-0038,AGT-0012,PROD-002,Health,2024-10-02,2026-09-22,48718.32,24,active
POL-0211,CUST-0070,AGT-0006,PROD-004,Life,2024-10-02,2025-09-27,46924.89,12,renewed
POL-0212,CUST-0288,AGT-0020,PROD-004,Life,2024-08-09,2029-07-14,71934.42,60,active
POL-0213,CUST-0066,AGT-0006,PROD-003,Property,2025-10-09,2027-09-29,39594.97,24,active
POL-0214,CUST-0094,AGT-0020,PROD-001,Motor,2024-06-06,2029-05-11,39478.01,60,active
POL-0215,CUST-0255,AGT-0005,PROD-003,Property,2024-09-06,2026-08-27,56577.04,24,active
POL-0216,CUST-0086,AGT-0003,PROD-003,Property,2026-03-07,2028-02-25,37542.66,24,active
POL-0217,CUST-0035,AGT-0012,PROD-003,Property,2025-02-22,2026-02-17,32238.81,12,expired
POL-0218,CUST-0215,AGT-0006,PROD-003,Property,2026-02-04,2027-01-30,18129.58,12,lapsed
POL-0219,CUST-0052,AGT-0016,PROD-004,Life,2025-01-06,2029-12-11,48098.49,60,lapsed
POL-0220,CUST-0151,AGT-0001,PROD-002,Health,2025-12-10,2030-11-14,13685.47,60,active
POL-0221,CUST-0193,AGT-0006,PROD-003,Property,2025-08-31,2026-08-26,19823.03,12,active
POL-0222,CUST-0248,AGT-0001,PROD-001,Motor,2024-11-11,2025-11-06,20504.17,12,lapsed
POL-0223,CUST-0081,AGT-0002,PROD-004,Life,2024-07-25,2026-07-15,68585.41,24,lapsed
POL-0224,CUST-0284,AGT-0018,PROD-001,Motor,2025-06-20,2027-06-10,44052.74,24,lapsed
POL-0225,CUST-0026,AGT-0013,PROD-003,Property,2024-07-18,2027-07-03,34331.04,36,active
POL-0226,CUST-0045,AGT-0010,PROD-004,Life,2025-12-19,2026-12-14,48866.31,12,lapsed
POL-0227,CUST-0150,AGT-0003,PROD-004,Life,2025-11-02,2026-10-28,22058.86,12,active
POL-0228,CUST-0251,AGT-0009,PROD-004,Life,2026-01-27,2029-01-11,82790.13,36,lapsed
POL-0229,CUST-0190,AGT-0006,PROD-001,Motor,2024-08-06,2029-07-11,14840.61,60,lapsed
POL-0230,CUST-0116,AGT-0009,PROD-004,Life,2026-04-10,2029-03-25,55179.23,36,active
POL-0231,CUST-0278,AGT-0014,PROD-001,Motor,2025-12-22,2026-12-17,11171.17,12,active
POL-0232,CUST-0215,AGT-0018,PROD-002,Health,2024-11-05,2025-10-31,52039.86,12,lapsed
POL-0233,CUST-0203,AGT-0002,PROD-004,Life,2024-10-16,2026-10-06,58100.98,24,active
POL-0234,CUST-0109,AGT-0007,PROD-002,Health,2026-01-22,2030-12-27,18643.95,60,active
POL-0235,CUST-0104,AGT-0005,PROD-002,Health,2026-04-12,2031-03-17,13918.43,60,lapsed
POL-0236,CUST-0283,AGT-0011,PROD-003,Property,2025-07-02,2026-06-27,20656.78,12,lapsed
POL-0237,CUST-0268,AGT-0014,PROD-003,Property,2024-12-09,2029-11-13,74615.52,60,active
POL-0238,CUST-0055,AGT-0019,PROD-001,Motor,2025-03-27,2027-03-17,13483.39,24,active
POL-0239,CUST-0197,AGT-0016,PROD-001,Motor,2025-08-06,2028-07-21,40482.06,36,active
POL-0240,CUST-0206,AGT-0002,PROD-004,Life,2026-04-17,2028-04-06,42033.13,24,active
POL-0241,CUST-0138,AGT-0012,PROD-004,Life,2025-06-20,2027-06-10,23943.28,24,lapsed
POL-0242,CUST-0051,AGT-0008,PROD-001,Motor,2025-06-14,2028-05-29,19505.12,36,lapsed
POL-0243,CUST-0138,AGT-0014,PROD-002,Health,2025-07-22,2030-06-26,48701.55,60,active
POL-0244,CUST-0249,AGT-0017,PROD-001,Motor,2025-11-14,2030-10-19,15821.45,60,lapsed
POL-0245,CUST-0070,AGT-0017,PROD-003,Property,2026-03-29,2028-03-18,19265.1,24,lapsed
POL-0246,CUST-0030,AGT-0008,PROD-001,Motor,2025-11-29,2027-11-19,40381.68,24,active
POL-0247,CUST-0102,AGT-0009,PROD-001,Motor,2025-02-12,2026-02-07,41967.15,12,lapsed
POL-0248,CUST-0016,AGT-0008,PROD-003,Property,2025-02-04,2030-01-09,56301.64,60,active
POL-0249,CUST-0283,AGT-0012,PROD-003,Property,2025-01-10,2029-12-15,26542.94,60,lapsed
POL-0250,CUST-0146,AGT-0001,PROD-003,Property,2025-12-09,2028-11-23,63682.47,36,active
POL-0251,CUST-0114,AGT-0008,PROD-004,Life,2026-04-05,2028-03-25,88305.71,24,active
POL-0252,CUST-0243,AGT-0005,PROD-002,Health,2025-08-23,2030-07-28,35664.06,60,active
POL-0253,CUST-0157,AGT-0009,PROD-002,Health,2024-09-17,2025-09-12,21188.5,12,lapsed
POL-0254,CUST-0239,AGT-0010,PROD-004,Life,2025-05-05,2028-04-19,56719.84,36,active
POL-0255,CUST-0192,AGT-0018,PROD-004,Life,2024-10-04,2025-09-29,20587.81,12,lapsed
POL-0256,CUST-0142,AGT-0011,PROD-003,Property,2025-07-24,2026-07-19,46313.0,12,active
POL-0257,CUST-0030,AGT-0020,PROD-003,Property,2025-08-31,2028-08-15,27243.41,36,active
POL-0258,CUST-0255,AGT-0010,PROD-004,Life,2024-07-18,2027-07-03,74460.46,36,active
POL-0259,CUST-0299,AGT-0019,PROD-003,Property,2025-03-23,2030-02-25,40237.87,60,active
POL-0260,CUST-0184,AGT-0017,PROD-002,Health,2025-06-08,2027-05-29,44315.91,24,lapsed
POL-0261,CUST-0066,AGT-0009,PROD-003,Property,2025-12-02,2027-11-22,34095.96,24,lapsed
